x_var,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,janus_throughput,janus_p50,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,cockroachdb_throughput,cockroachdb_p50,cockroachdb_p95,cockroachdb_p99,cockroachdb_lsh_p50,cockroachdb_lsh_p95,cockroachdb_lsh_p99,cockroachdb_fsh_p50,cockroachdb_fsh_p95,cockroachdb_fsh_p99,cockroachdb_mh_p50,cockroachdb_mh_p95,cockroachdb_mh_p99,cockroachdb_aborts,cockroachdb_bytes,cockroachdb_cost,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,slog_throughput,slog_p50,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost
0.0,88285.0,175.82462,858.9447145,1976.938807940004,175.82462,858.9447145,1976.938807940004,,,,,,,0.0,3198366531.5875,1.2386437686096325,38958.0,589.4167575,1080.0575772999998,1474.3018604700003,589.4167575,1080.0575772999998,1474.3018604700003,,,,,,,0.0,1162948957.2166667,1.3318010688816944,5504.0,38.4444995,1293.54012375,3090.2419830000113,29.5503225,1087.4594615999993,2815.8769387100074,,,,541.937629,2730.311296,5493.734856750003,0.0,96348808.95208333,2.486353516906896,30836.0,515.942615,4347.119333399992,13941.536636019924,515.942615,4347.119333399992,13941.536636019924,,,,,,,0.0,1148804896.4145834,1.4052741162890412,89856.0,136.722584,878.1970701999966,2938.0390153199996,136.722584,878.1970701999966,2938.0390153199996,,,,,,,0.0,3270716169.74375,1.5945432111704343
10.0,69843.0,38.97609,2337.23976375,4995.635685099982,35.151305,624.5141632499978,1813.1085039200002,1971.069228,6063.100064799999,7283.01855956,2082.018211,6129.576831199999,7532.200631499997,0.0,2839758900.4020834,1.4737330201245014,34945.0,655.9330649999999,1268.4131193499995,1791.650744699995,655.9330649999999,1268.4131193499995,1791.650744699995,,,,,,,0.0,1034368806.8,1.3547165139830841,5295.0,69.95482,1264.2585180000003,3239.9427188799987,59.490292,1008.4732322000001,3025.482627280015,,,,495.79467,2937.3291773999995,5403.77304699,0.0,123027142.04375,2.8147462271666135,28563.0,849.1418355000001,11789.541756749999,22362.87246216,849.1418355000001,11789.541756749999,22362.87246216,,,,,,,0.0,1028396534.24375,1.3776586540415536,64794.0,35.9215475,2997.35131925,6747.627953350054,31.948953000000003,751.475052649997,4358.405040049998,1685.9438505,7448.3242595999955,9767.695403810001,1752.663636,7753.949882499998,10929.569962340016,0.0,2559282811.0354166,1.705311628019078
20.0,54549.0,35.461254,3249.494091899999,7311.530709879999,27.851624,587.9497473999993,4590.156050120006,876.715866,6900.27925515,8083.30386262,951.1235295,7027.24763775,8167.160008249996,0.0,2399112075.85,1.7961575182506653,35761.0,661.463533,1165.386308,1385.401903699999,661.463533,1165.386308,1385.401903699999,,,,,,,0.0,1034820881.8354167,1.3268580923659075,6148.0,104.364943,968.6395219999985,2088.743946529998,86.64985300000001,900.1598330499997,1914.5685306399996,,,,402.25961099999995,1979.7050905999997,3439.7824937600117,0.0,130364311.27708334,2.572287052143199,27043.0,777.837357,8894.808572200001,15492.518048439993,777.837357,8894.808572200001,15492.518048439993,,,,,,,0.0,1004456297.99375,1.4498993871093158,53069.0,32.553168,3522.1703455,5387.926582650001,26.177039,1205.7348930999997,3820.585787599989,1083.4400030000002,5228.530426149995,8198.086086080017,1246.428276,5460.78025165,8494.193991679993,0.0,2254096580.1520834,1.8453290613586657
30.0,43854.0,70.50748250000001,3175.284163700004,8611.447032450002,28.299963,1042.5827857999943,3908.667716820001,619.7156245,7125.2008588,11199.35237120001,707.24071,7061.618763699996,11151.841508179947,0.0,2037668592.0645833,1.765021162894048,32860.0,693.1755009999999,1444.2372995,1722.72283825,693.1755009999999,1444.2372995,1722.72283825,,,,,,,0.0,957296747.5166667,1.3517892085176169,6009.0,133.643422,886.397423899997,2016.39364634,131.5465275,863.65540395,2019.09293017,,,,329.01753,1131.7277497999994,1939.4329458599996,0.0,141940087.94583333,2.698049010184954,28067.0,679.231619,15502.702140799998,24364.687080120002,679.231619,15502.702140799998,24364.687080120002,,,,,,,0.0,999500662.8833333,1.3621253237221551,47268.0,30.2858885,4471.731140849999,6795.980442719996,22.0142265,1059.727574349999,5452.8932751899965,538.7890395,6348.82423175,7078.13727797,625.787591,6444.13704675,7139.3690055,0.0,2138949199.1291666,1.9591267495313358
40.0,41089.0,53.476661,3872.915219399991,5840.06979116,21.7449055,1167.979750949999,2396.8450903500006,517.969844,5267.587952,6645.9775505,655.508004,5400.229015,6966.788591859997,0.0,2037088487.1020834,1.918491278933466,31417.0,661.149383,1616.3254137499996,3356.7594056999997,661.149383,1616.3254137499996,3356.7594056999997,,,,,,,0.0,921019320.0833334,1.380502990922289,5687.0,141.039289,1009.6620842999981,2528.5243899399993,135.845434,870.9955327499999,2371.59840075,,,,388.733133,2748.3851888999993,4070.6204608999997,0.0,137242519.4875,2.7790272555304,28556.0,748.9193534999999,15686.548469299996,21265.89118127,748.9193534999999,15686.548469299996,21265.89118127,,,,,,,0.0,1006221591.0541667,1.3394932774604191,39917.0,85.588293,4030.333182,5034.990680999997,20.196022,1257.081851699997,3936.1161586300004,403.5955055,4597.84205775,5723.912828300007,498.371957,4729.357285999998,6436.791920559994,0.0,1924973353.2604167,2.1152177886388546
50.0,37055.0,110.764708,4046.251317,6842.6725135,22.667855,678.3072762499997,2888.8587703100006,400.4571605,5283.980754849999,7598.196772189997,490.508074,5551.894204699999,7984.527340560008,0.0,1944961296.8625,2.141862795500307,32772.0,621.9450955,1575.1063121999998,1930.05839539,621.9450955,1575.1063121999998,1930.05839539,,,,,,,0.0,961259947.2145833,1.3663790318854934,6148.0,183.477515,800.6656736000001,1319.5990584,177.8706375,793.8106929999998,1312.8132183500036,,,,329.101955,970.2305934999999,1483.59366642,0.0,156987944.23958334,2.605880200324857,28524.0,404.737131,12448.052209299989,18362.682549280013,404.737131,12448.052209299989,18362.682549280013,,,,,,,0.0,1041552879.71875,1.4187419034224593,33890.0,170.154071,5513.110817499999,9508.475430680019,23.0693505,1556.3911634499989,5290.1452335099975,564.087089,7020.8012709999975,11481.29401208,704.8993875,7040.034598,11693.858838,0.0,1718515292.375,2.1270847669750577
60.0,33531.0,152.21157449999998,4935.9870044499985,7029.608131290003,19.489744,1235.7122219999944,2558.7861031999955,396.311571,5820.7176994,7388.9779118000115,549.8180575,6056.998736850001,7632.111694669999,0.0,1829167545.8875,2.240484871241455,32752.0,645.8920635,1547.2428106999998,2165.11271991,645.8920635,1547.2428106999998,2165.11271991,,,,,,,0.0,959663990.3229166,1.3453164920021847,5864.0,197.70901550000002,816.6278192499997,1515.0584282599984,193.608973,807.11925,1499.328365,,,,328.689166,1132.1657723999995,1953.6145509999994,0.0,159901079.39166668,2.8103337047687393,27704.0,860.610093,14494.55257,20235.85807021,860.610093,14494.55257,20235.85807021,,,,,,,0.0,1000109671.44375,1.374383475339502,33899.0,175.4308175,4910.80417665,5353.18751379,18.368685,1202.2996801499987,4805.55932018,291.048057,5083.588141699998,5373.969802689999,353.8368035,5136.6589935,5554.12323475,0.0,1819184110.6395833,2.2915841586198873
70.0,31371.0,155.638063,4600.771642949999,5833.451718899991,17.665934999999998,886.2974951499906,3332.8626324000015,257.431504,4946.048617,6175.42385765999,327.955165,5099.000988,6960.0291015,0.0,1811674588.6458333,2.239366593558187,32897.0,705.012287,1357.0181378999998,1671.284137039998,705.012287,1357.0181378999998,1671.284137039998,,,,,,,0.0,960198435.5104166,1.3553955151360473,4985.0,237.580323,1061.2710315,2020.691383599994,237.177675,1041.077194,1991.0289060000048,,,,350.725187,1705.3223263000002,2881.781148639997,0.0,126393024.40625,2.998402561708737,27345.0,932.802854,13911.082008799987,23241.16186747983,932.802854,13911.082008799987,23241.16186747983,,,,,,,0.0,1011072825.2479167,1.4164497423833324,30873.0,234.9382605,4143.261243749999,9270.306796750001,18.8120785,1176.7994801999994,1751.4795597300001,580.5731045,4587.5281203,10005.495738119995,783.7327155,4750.871973899999,10137.63037160999,0.0,1700824954.3395834,2.298309974765346
80.0,29325.0,166.365891,4301.228552999999,6599.127945160016,15.739832,985.5393533999986,3218.9842231400003,242.347196,4531.070596799998,6787.40283472,257.939434,4685.7498353,7280.0437486599985,0.0,1766997451.6979167,2.3636752614902434,33021.0,646.9093175,1486.34359515,1877.5836530699999,646.9093175,1486.34359515,1877.5836530699999,,,,,,,0.0,949720181.8270833,1.338356312876444,5219.0,244.7738815,826.5318438000004,1997.0415855499994,244.514563,830.0673975,2008.6601854999979,,,,327.794347,642.2703515000001,991.280966,0.0,137028476.94375,2.850749523793936,27088.0,797.476972,13956.713926249999,21691.18168424996,797.476972,13956.713926249999,21691.18168424996,,,,,,,0.0,994557457.3520833,1.4053062019080296,23752.0,277.57061150000004,4565.3954285,6712.1748565,16.438905,1388.4728012500004,3415.4577338500007,596.344234,4648.3463349,6781.852713299996,727.471008,4832.099593599995,7138.5432537,0.0,1388971741.0479167,2.5873197161025616
90.0,28073.0,230.1626715,5171.369362799999,7005.628209030005,16.096352,619.684468,2675.854585400001,254.115494,5211.937162399998,6931.550738919999,275.07115050000004,5377.398253499999,7335.420287909983,0.0,1738218807.1354167,2.6256783530131758,33668.0,695.064883,1268.3288277999998,1599.6410196799975,695.064883,1268.3288277999998,1599.6410196799975,,,,,,,0.0,965134486.4729167,1.3319511596197102,5375.0,258.219094,702.317555,1313.158567399998,258.198823,703.163207,1314.9486829999994,,,,327.80323899999996,523.9687237499995,919.3718521899998,0.0,154643014.05,2.862566096049095,27983.0,908.6782335,15680.98560755,20479.060192589994,908.6782335,15680.98560755,20479.060192589994,,,,,,,0.0,1019890791.8354167,1.3853990351423675,22055.0,299.130472,5015.007281,7612.142889399999,16.188448,777.682678,3973.802335399998,405.076955,5025.135789,7607.172970100003,579.37272,5094.755895099998,7746.392267879999,0.0,1159799103.18125,2.5396213083112946
100.0,27879.0,251.376013,5610.8129039999885,7678.339795239998,,,,245.705368,5510.258891299997,7503.286531019994,255.9203835,5721.4719521,7776.07719198,0.0,1781645482.6770833,2.6690203199605644,32395.0,676.048306,1498.1868035999998,2124.972869459998,676.048306,1498.1868035999998,2124.972869459998,,,,,,,0.0,880475121.4729167,1.2891312744370704,5357.0,257.903796,690.730912,1267.4806385999975,257.903796,690.730912,1267.4806385999975,,,,,,,0.0,153655177.12708333,2.86093720932373,27319.0,973.06363,15307.0250614,22884.800470600007,973.06363,15307.0250614,22884.800470600007,,,,,,,0.0,995923984.0229167,1.3751086654828655,23760.0,276.408482,4606.05444775,4878.785631,,,,265.094306,4590.064737999999,4850.11283103,286.5235445,4622.7269945,4916.4450105000005,0.0,1179930793.25625,2.4445155634344014
