x_var,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_read_p50,detock_read_p95,detock_read_p99,detock_write_p50,detock_write_p95,detock_write_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_read_p50,janus_read_p95,janus_read_p99,janus_write_p50,janus_write_p95,janus_write_p99,cockroachdb_lsh_p50,cockroachdb_lsh_p95,cockroachdb_lsh_p99,cockroachdb_fsh_p50,cockroachdb_fsh_p95,cockroachdb_fsh_p99,cockroachdb_mh_p50,cockroachdb_mh_p95,cockroachdb_mh_p99,cockroachdb_read_p50,cockroachdb_read_p95,cockroachdb_read_p99,cockroachdb_write_p50,cockroachdb_write_p95,cockroachdb_write_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_read_p50,calvin_read_p95,calvin_read_p99,calvin_write_p50,calvin_write_p95,calvin_write_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_read_p50,slog_read_p95,slog_read_p99,slog_write_p50,slog_write_p95,slog_write_p99
0.0,175.82462,858.9447145,1976.938807940004,,,,,,,,,,,,,589.4167575,1080.0575772999998,1474.3018604700003,,,,,,,,,,,,,29.5503225,1087.4594615999993,2815.8769387100074,,,,541.937629,2730.311296,5493.734856750003,,,,,,,515.942615,4347.119333399992,13941.536636019924,,,,,,,,,,,,,136.722584,878.1970701999966,2938.0390153199996,,,,,,,,,,,,
10.0,35.151305,624.5141632499978,1813.1085039200002,1971.069228,6063.100064799999,7283.01855956,2082.018211,6129.576831199999,7532.200631499997,,,,,,,655.9330649999999,1268.4131193499995,1791.650744699995,,,,,,,,,,,,,59.490292,1008.4732322000001,3025.482627280015,,,,495.79467,2937.3291773999995,5403.77304699,,,,,,,849.1418355000001,11789.541756749999,22362.87246216,,,,,,,,,,,,,31.948953000000003,751.475052649997,4358.405040049998,1685.9438505,7448.3242595999955,9767.695403810001,1752.663636,7753.949882499998,10929.569962340016,,,,,,
20.0,27.851624,587.9497473999993,4590.156050120006,876.715866,6900.27925515,8083.30386262,951.1235295,7027.24763775,8167.160008249996,,,,,,,661.463533,1165.386308,1385.401903699999,,,,,,,,,,,,,86.64985300000001,900.1598330499997,1914.5685306399996,,,,402.25961099999995,1979.7050905999997,3439.7824937600117,,,,,,,777.837357,8894.808572200001,15492.518048439993,,,,,,,,,,,,,26.177039,1205.7348930999997,3820.585787599989,1083.4400030000002,5228.530426149995,8198.086086080017,1246.428276,5460.78025165,8494.193991679993,,,,,,
30.0,28.299963,1042.5827857999943,3908.667716820001,619.7156245,7125.2008588,11199.35237120001,707.24071,7061.618763699996,11151.841508179947,,,,,,,693.1755009999999,1444.2372995,1722.72283825,,,,,,,,,,,,,131.5465275,863.65540395,2019.09293017,,,,329.01753,1131.7277497999994,1939.4329458599996,,,,,,,679.231619,15502.702140799998,24364.687080120002,,,,,,,,,,,,,22.0142265,1059.727574349999,5452.8932751899965,538.7890395,6348.82423175,7078.13727797,625.787591,6444.13704675,7139.3690055,,,,,,
40.0,21.7449055,1167.979750949999,2396.8450903500006,517.969844,5267.587952,6645.9775505,655.508004,5400.229015,6966.788591859997,,,,,,,661.149383,1616.3254137499996,3356.7594056999997,,,,,,,,,,,,,135.845434,870.9955327499999,2371.59840075,,,,388.733133,2748.3851888999993,4070.6204608999997,,,,,,,748.9193534999999,15686.548469299996,21265.89118127,,,,,,,,,,,,,20.196022,1257.081851699997,3936.1161586300004,403.5955055,4597.84205775,5723.912828300007,498.371957,4729.357285999998,6436.791920559994,,,,,,
50.0,22.667855,678.3072762499997,2888.8587703100006,400.4571605,5283.980754849999,7598.196772189997,490.508074,5551.894204699999,7984.527340560008,,,,,,,621.9450955,1575.1063121999998,1930.05839539,,,,,,,,,,,,,177.8706375,793.8106929999998,1312.8132183500036,,,,329.101955,970.2305934999999,1483.59366642,,,,,,,404.737131,12448.052209299989,18362.682549280013,,,,,,,,,,,,,23.0693505,1556.3911634499989,5290.1452335099975,564.087089,7020.8012709999975,11481.29401208,704.8993875,7040.034598,11693.858838,,,,,,
60.0,19.489744,1235.7122219999944,2558.7861031999955,396.311571,5820.7176994,7388.9779118000115,549.8180575,6056.998736850001,7632.111694669999,,,,,,,645.8920635,1547.2428106999998,2165.11271991,,,,,,,,,,,,,193.608973,807.11925,1499.328365,,,,328.689166,1132.1657723999995,1953.6145509999994,,,,,,,860.610093,14494.55257,20235.85807021,,,,,,,,,,,,,18.368685,1202.2996801499987,4805.55932018,291.048057,5083.588141699998,5373.969802689999,353.8368035,5136.6589935,5554.12323475,,,,,,
70.0,17.665934999999998,886.2974951499906,3332.8626324000015,257.431504,4946.048617,6175.42385765999,327.955165,5099.000988,6960.0291015,,,,,,,705.012287,1357.0181378999998,1671.284137039998,,,,,,,,,,,,,237.177675,1041.077194,1991.0289060000048,,,,350.725187,1705.3223263000002,2881.781148639997,,,,,,,932.802854,13911.082008799987,23241.16186747983,,,,,,,,,,,,,18.8120785,1176.7994801999994,1751.4795597300001,580.5731045,4587.5281203,10005.495738119995,783.7327155,4750.871973899999,10137.63037160999,,,,,,
80.0,15.739832,985.5393533999986,3218.9842231400003,242.347196,4531.070596799998,6787.40283472,257.939434,4685.7498353,7280.0437486599985,,,,,,,646.9093175,1486.34359515,1877.5836530699999,,,,,,,,,,,,,244.514563,830.0673975,2008.6601854999979,,,,327.794347,642.2703515000001,991.280966,,,,,,,797.476972,13956.713926249999,21691.18168424996,,,,,,,,,,,,,16.438905,1388.4728012500004,3415.4577338500007,596.344234,4648.3463349,6781.852713299996,727.471008,4832.099593599995,7138.5432537,,,,,,
90.0,16.096352,619.684468,2675.854585400001,254.115494,5211.937162399998,6931.550738919999,275.07115050000004,5377.398253499999,7335.420287909983,,,,,,,695.064883,1268.3288277999998,1599.6410196799975,,,,,,,,,,,,,258.198823,703.163207,1314.9486829999994,,,,327.80323899999996,523.9687237499995,919.3718521899998,,,,,,,908.6782335,15680.98560755,20479.060192589994,,,,,,,,,,,,,16.188448,777.682678,3973.802335399998,405.076955,5025.135789,7607.172970100003,579.37272,5094.755895099998,7746.392267879999,,,,,,
