x_var,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,detock_input_throughput,janus_throughput,janus_p50,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,janus_input_throughput,cockroachdb_throughput,cockroachdb_p50,cockroachdb_p95,cockroachdb_p99,cockroachdb_lsh_p50,cockroachdb_lsh_p95,cockroachdb_lsh_p99,cockroachdb_fsh_p50,cockroachdb_fsh_p95,cockroachdb_fsh_p99,cockroachdb_mh_p50,cockroachdb_mh_p95,cockroachdb_mh_p99,cockroachdb_aborts,cockroachdb_bytes,cockroachdb_cost,cockroachdb_input_throughput,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,calvin_input_throughput,slog_throughput,slog_p50,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost,slog_input_throughput
1.0,105.0,20.27919,243.26563625,653.64427561,8.99734,11.5067164,12.284527160000001,121.6022045,313.0749715,817.9247412499999,116.072828,385.7480079999996,855.5115936,0.0,7659911.641666667,96.93526924814815,88.0,34.0,184.003637,698.9006461999999,1641.3587221600003,184.003637,698.9006461999999,1641.3587221600003,,,,,,,0.0,1140570.2729166667,292.79179139808,24.0,46.0,133.227015,472.495139,495.17511491999994,132.9598345,471.38329020000003,493.5991197,,,,243.105209,495.65702469999997,522.0797374400001,0.0,5460966.860416667,219.79352541651568,200.0,55.0,136.511659,278.4052514,483.51864072,136.511659,278.4052514,483.51864072,,,,,,,0.0,3101671.51875,182.1007995013889,57.0,94.0,40.299171,246.4475248,336.5748177199997,8.983369499999998,11.42170175,12.2233438,153.525725,271.592653,754.0911925,152.62518599999999,270.43965325,534.8003124699999,0.0,6722763.11875,107.9490161182772,96.0
10.0,1311.0,13.6624915,210.2700468,250.20309157000005,8.9433785,11.659297249999998,12.645114749999998,106.162631,240.36440695000002,252.70467946999997,106.38366,240.32229144999997,253.40246743999995,0.0,82322035.14791666,9.731894464255443,880.0,433.0,182.971,247.4089965,249.6624595,182.971,247.4089965,249.6624595,,,,,,,0.0,14130093.891666668,24.003068494210293,240.0,472.0,133.360152,472.4291825,493.7023864,132.69091550000002,471.67324565,493.05424990999995,,,,243.38673,494.544802,498.10159940000005,0.0,11268737.929166667,21.880062203066153,2000.0,557.0,135.03510749999998,277.74405545,483.81931589,135.03510749999998,277.74405545,483.81931589,,,,,,,0.0,27083258.460416667,19.334247405208956,570.0,1032.0,13.622138,237.80284159999997,275.23486512,9.0172,11.6972448,12.78170856,153.108983,263.900201,278.77235320000005,153.284191,263.614233,279.944262,0.0,66798704.072916664,11.832186090210488,960.0
25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180.0,133.270883,472.4683961,494.34817902,132.646456,471.73772520000006,493.8237944,,,,243.654136,494.67243709999997,503.2583961,0.0,20035471.254166666,9.043018550841573,5000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2225.0,139.245418,478.2670909999999,688.0192999800024,133.63152,475.428185,654.6927294399999,,,,246.2381115,684.77187505,1036.1589710699998,0.0,32212374.745833334,4.996604848686016,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2375.0,154.7015445,773.4590690000001,2278.4830147600005,140.041564,682.9635795,2164.132497500012,,,,328.4203645,2243.9833224999984,3669.5771069999983,0.0,43260617.93958333,4.7997284280321635,15000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,12928.0,16.789484,218.91082839999996,252.98906768000003,9.0981875,12.49749065,13.9866186,124.8087285,243.75112779999998,254.50993088,126.2540175,245.04066415,255.75242437,0.0,701985387.0895833,2.635726097138424,8800.0,4184.0,189.5464075,376.926036,406.73885515,189.5464075,376.926036,406.73885515,,,,,,,0.0,135607488.96041667,3.455515618809087,2400.0,3005.0,177.0093315,746.823461,1783.1901295,174.3967355,749.555652,1807.7719398499955,,,,326.0736405,687.2940948000002,1180.1732395100003,0.0,68722851.53125,4.330471295789426,20000.0,5489.0,160.62469249999998,362.002857,573.04051189,160.62469249999998,362.002857,573.04051189,,,,,,,0.0,231068297.84791666,3.1264362955709397,5700.0,10066.0,34.677572999999995,249.30538115,280.08853571000003,9.566606,13.383707199999996,15.566463599999986,157.37506150000002,271.0251599,282.64378515,158.69517,271.5244939,283.83849024,0.0,550215339.8,2.865826262404932,9600.0
200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4068.0,177.44198,1461.372176,3966.730443599998,165.3949035,1364.248552,3610.685102050007,,,,497.481363,4444.153812199998,7341.55393148,0.0,67275418.07291667,3.0604939346764723,40000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2917.0,244.186717,3413.993334299996,11287.396970999996,243.3698095,3460.064543349998,11359.335472460005,,,,270.172669,1256.604849299999,9198.732396280013,0.0010384215991692627,74746537.81875,4.382654679248562,60000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3109.0,243.351303,5045.782158,13619.18312480001,242.127688,5119.250543449997,13740.287219219957,,,,258.458091,1940.785560399999,9181.095023939964,0.0,79433744.775,4.224830617901433,80000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2899.0,255.127789,5243.861883449983,18304.682147040065,247.45821999999998,5159.813592400001,18397.73497144997,,,,685.051414,9451.25502425,16711.584132250002,0.03878494523565733,81904119.92291667,4.395553740806216,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
