Txn_ID,Is MP,Is MH,Start time,End time,Duration (ms),Server (ms),Fwd (ms),MH orderer (ms),Seq (ms),Log man (ms),Sched (ms),Lck man (ms),Worker (ms),Wait (ms),Other (ms)
845812204568577,True,False,1750159764250251762,1750159764441286111,191.03435,0.59286,0.0,0.0,0.0,0.0,0.0,189.2686,0.43403,0.0,0.73886
2297579870093313,False,False,1750159789799863571,1750159789969584150,169.72058,0.0004,0.0,0.0,0.0,0.0,0.0,168.58368,0.00679,0.0,1.1297
3633482202873856,True,False,1750159812595808785,1750159812807582711,211.77393,0.03019,0.0,0.0,0.0,0.0,0.0,211.18185,0.12298,0.0,0.4389
1020050437832704,False,False,1750159767399748717,1750159767591803822,192.0551,0.0004,0.0,0.0,0.0,0.0,0.0,190.89108,0.00866,0.0,1.15497
2325531517255681,False,False,1750159790264818643,1750159790269175076,4.35643,0.00038,0.0,0.0,0.0,0.0,0.0,2.68805,0.00744,0.0,1.66056
2930829848215552,False,False,1750159800595289353,1750159800643933133,48.64378,0.00069,0.0,0.0,0.0,0.0,0.0,47.5849,0.00732,0.0,1.05087
2265560888901633,False,False,1750159789280394039,1750159789285769724,5.37568,0.00043,0.0,0.0,0.0,0.0,0.0,3.10235,0.00584,0.0,2.26706
360416475611136,False,False,1750159756771323997,1750159756796115219,24.79122,0.00034,0.0,0.0,0.0,0.0,0.0,22.4565,0.01132,0.0,2.32306
1899225948356609,False,False,1750159782346474774,1750159782349425162,2.95039,0.00033,0.0,0.0,0.0,0.0,0.0,1.87139,0.00594,0.0,1.07272
1738688660766720,False,False,1750159779940270217,1750159779943194626,2.92441,0.00061,0.0,0.0,0.0,0.0,0.0,1.76348,0.01553,0.0,1.14479
2160432974397441,False,False,1750159787227944824,1750159787230460009,2.51518,0.00047,0.0,0.0,0.0,0.0,0.0,1.45823,0.00602,0.0,1.05046
2040581912002560,False,False,1750159784942074030,1750159784944473019,2.39899,0.0006,0.0,0.0,0.0,0.0,0.0,1.34134,0.01389,0.0,1.04316
501643590238209,True,False,1750159758419361660,1750159758518218409,98.85675,1.4299,0.0,0.0,0.0,0.0,0.0,59.70693,0.51665,0.0,37.20326
273207164665856,False,False,1750159755743733626,1750159755748684839,4.95121,0.00047,0.0,0.0,0.0,0.0,0.0,2.96398,0.00457,0.0,1.9822
53343493816321,False,False,1750159753164800375,1750159753305714568,140.91419,0.00034,0.0,0.0,0.0,0.0,0.0,4.85668,0.00506,0.0,136.05211
862296289050624,False,False,1750159764553190107,1750159764750582296,197.39219,0.00064,0.0,0.0,0.0,0.0,0.0,196.16127,0.00817,0.0,1.22212
3605135418720257,False,False,1750159812103380306,1750159812107151847,3.77154,0.00046,0.0,0.0,0.0,0.0,0.0,2.34479,0.00512,0.0,1.42117
3181243621441537,False,False,1750159804851949139,1750159804901512625,49.56349,0.00036,0.0,0.0,0.0,0.0,0.0,48.35591,0.01268,0.0,1.19453
1302938458783744,False,False,1750159772480330102,1750159772669248351,188.91825,0.00048,0.0,0.0,0.0,0.0,0.0,187.62382,0.01482,0.0,1.27913
2142600270184448,False,False,1750159786879789267,1750159787094704226,214.91496,0.00044,0.0,0.0,0.0,0.0,0.0,213.92924,0.00689,0.0,0.97838
829950890344448,False,False,1750159763966899040,1750159763968703629,1.80459,0.00036,0.0,0.0,0.0,0.0,0.0,1.1431,0.00615,0.0,0.65498
2065763305259008,False,False,1750159785424429617,1750159785427242548,2.81293,0.00064,0.0,0.0,0.0,0.0,0.0,1.93506,0.00674,0.0,0.87048
2987815474298880,False,False,1750159801565603534,1750159801603966992,38.36346,0.00087,0.0,0.0,0.0,0.0,0.0,36.95581,0.00563,0.0,1.40114
3052059595112448,False,False,1750159802641381978,1750159802665815632,24.43365,0.00059,0.0,0.0,0.0,0.0,0.0,23.07969,0.00698,0.0,1.34639
1409488007462912,False,False,1750159774293213752,1750159774474832023,181.61827,0.00066,0.0,0.0,0.0,0.0,0.0,180.41251,0.00701,0.0,1.19808
2011573702885377,False,False,1750159784399016193,1750159784585231776,186.21558,0.00063,0.0,0.0,0.0,0.0,0.0,185.14882,0.00763,0.0,1.0585
1507464801419264,True,False,1750159775965116113,1750159776159513059,194.39695,0.20282,0.0,0.0,0.0,0.0,0.0,192.43936,0.58751,0.0,1.16725
3601690854948865,False,False,1750159812043826479,1750159812196499313,152.67283,0.00052,0.0,0.0,0.0,0.0,0.0,151.69179,0.00734,0.0,0.97318
2701963925913601,False,False,1750159796691386863,1750159796830932160,139.5453,0.00051,0.0,0.0,0.0,0.0,0.0,138.29055,0.01482,0.0,1.23942
325481211625473,False,False,1750159756355003796,1750159756500953701,145.94991,0.00061,0.0,0.0,0.0,0.0,0.0,25.0714,0.00549,0.0,120.8724
3395334856245248,False,False,1750159808499224136,1750159808713774044,214.54991,0.00057,0.0,0.0,0.0,0.0,0.0,213.44879,0.00639,0.0,1.09416
1908391408566272,False,False,1750159782513840769,1750159782720031763,206.19099,0.00056,0.0,0.0,0.0,0.0,0.0,204.97209,0.01433,0.0,1.20402
1983102364680192,False,False,1750159783880597784,1750159784089686216,209.08843,0.00047,0.0,0.0,0.0,0.0,0.0,207.95091,0.00723,0.0,1.12982
3335845264228353,False,False,1750159807462836368,1750159807616992721,154.15635,0.00049,0.0,0.0,0.0,0.0,0.0,152.84158,0.01344,0.0,1.30083
1704401936842753,False,False,1750159779350301995,1750159779354418430,4.11644,0.00064,0.0,0.0,0.0,0.0,0.0,2.27569,0.01581,0.0,1.8243
