x_var,cockroachdb_throughput,cockroachdb_p50,cockroachdb_p90,cockroachdb_p95,cockroachdb_p99,cockroachdb_lsh_p50,cockroachdb_lsh_p90,cockroachdb_lsh_p95,cockroachdb_lsh_p99,cockroachdb_fsh_p50,cockroachdb_fsh_p90,cockroachdb_fsh_p95,cockroachdb_fsh_p99,cockroachdb_mh_p50,cockroachdb_mh_p90,cockroachdb_mh_p95,cockroachdb_mh_p99,cockroachdb_aborts,cockroachdb_bytes,cockroachdb_cost,cockroachdb_input_throughput,detock_throughput,detock_p50,detock_p90,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p90,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p90,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p90,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,detock_input_throughput,janus_throughput,janus_p50,janus_p90,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p90,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p90,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p90,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,janus_input_throughput,calvin_throughput,calvin_p50,calvin_p90,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p90,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p90,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p90,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,calvin_input_throughput,slog_throughput,slog_p50,slog_p90,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p90,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p90,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p90,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost,slog_input_throughput
1.0,11.0,268.056154,393.874187,398.9118395,402.9731063,6.613996,136.67751320000002,137.5167387,138.76316552,,,,,272.530236,398.8247391,401.3253016,403.57384222,0.0,703531.6,93.55187563636362,16.0,27.0,136.431523,142.05696700000001,142.6798356,145.02167784,6.765707,7.544138,7.869643,12.251879400000004,140.159451,142.4101468,143.04237335,146.93802019,140.84498250000001,142.7234108,143.15944075000002,145.93693564,0.0,525254.2666666667,37.98166982716049,27.0,14.0,132.88019,136.27356559999998,136.81108880000002,141.44634892,132.88019,136.27356559999998,136.81108880000002,141.44634892,,,,,,,,,0.0,457377.0833333333,73.15339583333332,14.0,165.0,6.145373,6.646177200000001,10.99115809999996,139.15846342999998,6.145373,6.646177200000001,10.99115809999996,139.15846342999998,,,,,,,,,0.0,2179369.2,6.415681115151514,171.0,25.0,139.373631,146.6023146,147.6208948,152.40541209,6.7685835,7.8558604,9.283845849999999,13.744533419999987,144.605761,147.6088991,148.8394365,154.02992102,144.4978415,147.63028200000002,149.049779,155.85137865000002,0.0,492878.61666666664,40.994302893333334,26.0
10.0,114.0,265.669234,394.7163481,400.98552415,406.88683284999996,5.960411000000001,136.5440148,137.4084626,139.66445098,,,,,272.35354600000005,400.9737708,403.52921785,425.35994777,0.0,4141787.9166666665,9.630138230994152,160.0,278.0,7.029844000000001,140.859801,141.39288675,142.13833855,6.2577415,6.575385,6.696812099999999,7.070429240000003,139.27177899999998,141.258374,141.65190395,142.26800265999998,139.55692399999998,141.549059,141.88420474999998,142.48712415,0.0,4724199.066666666,3.9909495731414864,270.0,150.0,132.615423,135.518557,136.23122949999998,138.883973,132.615423,135.518557,136.23122949999998,138.883973,,,,,,,,,0.0,7061192.683333334,7.708159024444446,140.0,1688.0,6.192517,135.7143152,138.04603649999999,140.55864564,6.192517,135.7143152,138.04603649999999,140.55864564,,,,,,,,,0.0,19728884.983333334,0.8350578789494472,1710.0,271.0,8.687763499999999,145.1397595,146.038714,147.23664673000002,6.196441,6.504096,6.6534859,8.659226999999998,142.84747,145.8723976,146.5211818,147.47836764,143.2019555,146.2278218,146.83224495,148.16066002,0.0,4623204.133333334,4.086583330873308,260.0
100.0,617.0,275.4915095,782.3739957000003,1041.6458364999985,1504.4329501100012,30.2437205,420.0385455,718.60389375,1259.773231000003,,,,,387.2720175,960.8872605,1188.8794767499999,1669.2658072499996,0.0,14864551.75,2.1268898460291736,1600.0,2725.0,17.4133025,141.24673560000002,142.09644124999997,169.40838124000004,5.596468,6.476582,6.661713,7.144215799999997,139.3071745,141.8459094,145.89118009999996,191.0539855399999,139.710213,142.284031,146.06280089999998,198.80787325999972,0.0,42832707.95,0.6868455629357798,2700.0,1501.0,133.0010685,135.425924,135.98582485,137.94312984,133.0010685,135.425924,135.98582485,137.94312984,,,,,,,,,0.0,17599615.816666666,0.9107210635132132,1400.0,12224.0,9.516879,139.6127338,141.1235857,143.72373474,9.516879,139.6127338,141.1235857,143.72373474,,,,,,,,,0.0,138024782.93333334,0.3088592652705061,17100.0,2655.0,14.1050565,145.319279,146.29086884999998,147.73965926,5.8863175000000005,6.6259266000000006,6.8151975,7.370987069999997,142.529533,146.008562,146.70651295,147.92622249,143.1373935,146.5390002,147.2395385,148.81693056999998,0.0,41424362.75,0.6943454821092279,2600.0
200.0,659.0,344.241758,1588.3462650000001,2049.022799,2865.507452200004,135.629352,1065.3007558000004,1655.1758595999988,2695.5576735500044,,,,,601.5379765,1842.4050425,2263.4475794500004,2982.91952458,0.0,15566195.133333333,2.012631111785534,3200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300.0,679.0,466.70883749999996,2345.6848432,2882.1092613500014,3956.05914433,139.8532155,1697.1900404000003,2450.7482952999985,3862.7164222299984,,,,,953.1418269999999,2640.6531640999997,3127.264556849998,4006.63780099,0.0,16092897.566666666,1.9688629621993126,4800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400.0,731.0,506.622918,3136.8269888000013,4214.858212000001,5406.46307532,177.214556,1878.9778508000056,3287.1545419,5202.2882811,,,,,862.2956879999999,3773.3159401999997,4562.983851249999,5524.62595124,0.0,16753729.0,1.8468872503419975,6400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500.0,546.0,893.663863,4666.903243600001,5710.1001096,7739.476432039999,181.4685845,3693.689017399999,5010.56048935,7479.483204829988,,,,,2199.754907,5151.8437864,6137.803094399999,7917.418778540002,0.0,14759785.416666666,2.399625839438339,8000.0,7477.0,135.6909435,764.3229596000001,1317.6168199999984,2457.0798690199995,5.648501,7.6645286000000015,8.5665598,13.6803286,146.16988750000002,1325.4448666,1921.0758873999998,2611.1418911299997,147.391543,1303.519904,1940.479537,2600.8830548,0.0,114363458.3,0.4416569701752039,13500.0,7062.0,135.00484799999998,137.08207370000002,138.14111549999998,149.20588827000017,135.00484799999998,137.08207370000002,138.14111549999998,149.20588827000017,,,,,,,,,0.0,71174497.35,0.3452973586802606,7000.0,16574.0,55.971381,140.7884736,143.1682684,321.27829107999963,55.971381,140.7884736,143.1682684,321.27829107999963,,,,,,,,,0.0,186936877.7,0.2868189666948231,85500.0,12625.0,138.989132,150.1112,152.017492,157.8801355,6.764799,9.918588,11.587223299999998,16.84216504,146.360604,151.1376483,153.0721601,160.93498992,147.69989800000002,152.7460995,154.9446554,170.96320424999993,0.0,190420172.25,0.3820517580198019,13000.0
600.0,468.0,1010.911173,6239.216774799999,7954.6002021999975,10866.728501919999,299.86190450000004,5306.0775127000015,6760.440369849978,9889.51213853998,,,,,2668.8265465,6915.477983900001,8532.308876349998,11602.28843184,0.0,11972369.516666668,2.6804431417378916,9600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700.0,501.0,1757.398405,6559.767662800001,7869.5495242,11661.798107559984,170.072381,5795.229545,7208.060946,10616.355639,,,,,3482.4999980000002,7005.384143,8467.2038755,12348.453129,0.0,11092039.066666666,2.468744074517632,11200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800.0,430.0,2271.027284,8390.663484199998,10841.918952449985,17757.333528079987,197.896212,6959.499778,9375.705944,16661.2168518,,,,,4326.753172,9329.4926648,12184.117365199978,18453.137656439998,0.0,12381700.7,2.9363581720930227,12800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900.0,432.0,3284.927687,7809.240785599997,9973.217535799993,23358.520493639986,566.365609,7147.626209800001,9600.0834917,22396.73248988,,,,,4281.405521000001,8218.173269100002,10442.488606949999,23969.238847010045,0.0,11791118.683333334,2.895422161265432,14400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
